Alt Kategori,Yıl,Ay,Endeks,Ay_Num,Tarih
(Gıda Ve Alkolsüz İçecekler),2005,Ocak,111.95,1,2005-01-01
"(Görsel-İşitsel Sistemle (Audıo-Vısual), Fotoğrafla Ve Veri İşlemle İle İlgili Ekipman)",2005,Ocak,91.1,1,2005-01-01
(Diğer Temel Dayanıklı Eğlence Ve Kültür Araçları),2005,Ocak,115.83,1,2005-01-01
"(Diğer Eğlence Araçları Ve Malzemeleri, Bahçe Ve Evcil Hayvanlara İlişkin Ürünler, Hizmetler)",2005,Ocak,120.99,1,2005-01-01
(Eğlence Ve Kültür Hizmetleri),2005,Ocak,129.86,1,2005-01-01
"(Gazete, Kitap Ve Kırtasiye)",2005,Ocak,121.89,1,2005-01-01
(Paket Turlar),2005,Ocak,111.52,1,2005-01-01
(Eğitim),2005,Ocak,130.87,1,2005-01-01
(Okul Öncesi Eğitim Ve İlköğretim),2005,Ocak,133.37,1,2005-01-01
(Orta Öğretim),2005,Ocak,131.17,1,2005-01-01
(Orta Öğretim Sonrası Ve Üniversite Öncesi Eğitim),2005,Ocak,130.83,1,2005-01-01
(Üniversite Eğitimi),2005,Ocak,129.67,1,2005-01-01
(Düzeyi Belirlenemeyen Eğitim Programları),2005,Ocak,129.64,1,2005-01-01
(Lokanta Ve Oteller),2005,Ocak,124.44,1,2005-01-01
(Yemek Hizmetleri),2005,Ocak,126.0,1,2005-01-01
(Konaklama Hizmetleri),2005,Ocak,122.45,1,2005-01-01
(Çeşitli Mal Ve Hizmetler),2005,Ocak,114.34,1,2005-01-01
(Kişisel Bakım),2005,Ocak,112.81,1,2005-01-01
(Başka Yerde Sınıflandırılamayan Kişisel Bakım Ürünleri),2005,Ocak,111.89,1,2005-01-01
(Sosyal Hizmetler),2005,Ocak,131.3,1,2005-01-01
(Alkollü İçecekler Ve Tütün),2005,Ocak,121.95,1,2005-01-01
(Sigorta),2005,Ocak,127.14,1,2005-01-01
(Başka Yerde Sınıflandırılmayan Mali Hizmetler),2005,Ocak,124.54,1,2005-01-01
(Başka Yerde Sınıflandırılmayan Diğer Hizmetler),2005,Ocak,139.75,1,2005-01-01
(Eğlence Ve Kültür),2005,Ocak,113.37,1,2005-01-01
(Alkollü İçecekler),2005,Ocak,134.46,1,2005-01-01
(Telefon Ve Telefaks Hizmetleri),2005,Ocak,105.59,1,2005-01-01
(Telefon Ve Telefaks Ekipmanı),2005,Ocak,87.78,1,2005-01-01
(Ayakkabı),2005,Ocak,114.09,1,2005-01-01
"(Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Ocak,115.51,1,2005-01-01
(Gerçek Kira),2005,Ocak,133.14,1,2005-01-01
(Konutun Bakım Ve Onarımı),2005,Ocak,112.68,1,2005-01-01
(Su (Şebeke Suyu) Ve Konutla İlgili Çeşitli Hizmetler),2005,Ocak,111.0,1,2005-01-01
(Tütün),2005,Ocak,121.03,1,2005-01-01
"(Elektrik, Gaz Ve Diğer Yakıtlar)",2005,Ocak,109.32,1,2005-01-01
"(Mobilya, Ev Aletleri Ve Ev Bakım Hizmetleri)",2005,Ocak,111.4,1,2005-01-01
"(Mobilya, Mefruşat, Halı Ve Diğer Yer Döşemeleri)",2005,Ocak,125.43,1,2005-01-01
(Ev İçi Tekstil),2005,Ocak,111.0,1,2005-01-01
(Ev Aletleri),2005,Ocak,93.91,1,2005-01-01
Ölçüm bazında,2005,Ocak,114.49,1,2005-01-01
"(Züccaciye, Yemek Takımı Ve Hanehalkı Aletleri)",2005,Ocak,117.43,1,2005-01-01
(Ev Bakım İçin Mal Ve Hizmetler),2005,Ocak,106.65,1,2005-01-01
(Sağlık),2005,Ocak,112.84,1,2005-01-01
